ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
2250,-0.43197767604072884,2,2,1,32,0,0,0,0,0,0,546741.0,535509.0,548020.0,530672.0,155083.0,165975.0,22863.0,167622.0,14000.0,4300.0,158064.0,28840.0,1
2407,0.3583902823635323,2,3,1,40,0,0,0,0,0,0,201169.0,210942.0,214523.0,138786.0,140918.0,144099.0,16286.0,10011.0,5000.0,6000.0,6000.0,6000.0,0
29403,0.2140233490722614,1,1,2,29,-2,-2,-2,-2,-2,-1,2163.0,345.0,2541.0,730.0,1350.0,2100.0,345.0,2541.0,730.0,1350.0,2100.0,0.0,0
25292,-0.16055758642021517,2,1,2,26,0,0,0,0,0,0,81463.0,83098.0,63848.0,64692.0,66114.0,67396.0,4000.0,3000.0,2500.0,2500.0,2500.0,2600.0,0
15293,0.3311684689062154,2,2,1,45,-2,-2,-2,-2,-2,-2,1182.0,0.0,198.0,3532.0,0.0,0.0,0.0,198.0,3532.0,0.0,0.0,0.0,0
18202,0.11214548094163497,1,1,1,42,0,0,0,0,0,0,283484.0,245832.0,230346.0,215437.0,176688.0,170548.0,10000.0,9002.0,10000.0,7000.0,7000.0,7000.0,0
6268,0.7745540046307803,2,2,1,47,0,0,0,0,0,-1,231181.0,26610.0,24910.0,20133.0,5821.0,143866.0,1610.0,1910.0,1133.0,821.0,155681.0,4785.0,0
21933,-0.749985528549464,2,1,2,27,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9292,0.014612877610599016,2,3,2,25,0,0,0,0,-1,-1,26214.0,26504.0,20010.0,0.0,104160.0,0.0,2000.0,1067.0,0.0,104160.0,0.0,0.0,0
25912,-0.391179048531925,2,1,2,34,-1,-1,-1,-1,-1,-1,1884.0,1077.0,4886.0,3682.0,3190.0,2451.0,1077.0,5693.0,4255.0,3190.0,2451.0,4425.0,0
5836,-0.08535508527013232,2,2,2,26,0,-1,0,0,-1,-1,33224.0,52425.0,69048.0,68206.0,17510.0,26175.0,52425.0,27595.0,10343.0,18083.0,26279.0,17013.0,1
15140,1.8163557289818462,1,2,1,63,0,0,0,0,0,0,429392.0,425895.0,411492.0,371539.0,308888.0,240970.0,15120.0,16284.0,16524.0,10320.0,8525.0,6739.0,1
8633,0.10625822437451773,1,1,1,60,1,3,2,0,0,-1,8311.0,8031.0,5790.0,3860.0,2599.0,2712.0,0.0,0.0,0.0,0.0,2712.0,0.0,0
23483,0.48213739703259284,2,2,1,30,-1,-1,-2,-2,-2,-2,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8730,-0.28651083843467123,1,2,1,43,0,0,0,0,0,0,8214.0,8034.0,9044.0,9225.0,9417.0,9617.0,1140.0,1150.0,331.0,341.0,356.0,330.0,0
1727,0.4117105159928734,2,3,1,54,1,2,0,0,0,0,64069.0,59153.0,56275.0,53936.0,51740.0,49043.0,0.0,2031.0,1918.0,1993.0,1614.0,1789.0,0
6253,0.3927424409315517,1,3,1,43,-1,-1,-1,0,0,-1,1435.0,1270.0,3783.0,2522.0,1261.0,1436.0,1270.0,4000.0,0.0,0.0,1436.0,1261.0,0
2189,0.6613133771371855,1,2,2,24,0,-1,-1,-1,-1,-1,10700.0,510.0,900.0,704.0,540.0,150.0,510.0,390.0,1094.0,2420.0,150.0,780.0,0
27129,0.5019291586900653,1,1,2,34,0,0,0,0,0,0,350178.0,359050.0,366591.0,331833.0,288709.0,290583.0,15000.0,15502.0,13801.0,9852.0,10224.0,10010.0,0
11042,0.6815244568401303,1,2,2,25,1,2,0,0,-1,0,11023.0,9497.0,4273.0,0.0,6805.0,5554.0,14.0,1000.0,0.0,6805.0,2000.0,3782.0,0
11921,-0.3486628260124095,2,3,1,49,1,-1,2,0,0,0,0.0,10152.0,9840.0,11671.0,11914.0,12155.0,10152.0,0.0,2000.0,431.0,438.0,244.0,0
11023,0.15118005831922576,1,2,2,29,-1,-1,-1,0,-1,-1,2494.0,1999.0,6632.0,6150.0,10122.0,2689.0,2005.0,6633.0,18.0,10152.0,2697.0,3607.0,0
24336,-0.15527473452599835,1,2,3,37,0,0,0,0,0,-1,50239.0,49642.0,48381.0,44113.0,8522.0,17948.0,1799.0,2060.0,1014.0,170.0,17948.0,188.0,0
18465,0.8130225562582861,2,1,2,23,-1,-1,-2,-2,-1,-1,1178.0,2550.0,182.0,-2194.0,2188.0,6424.0,2550.0,1026.0,1350.0,4382.0,6443.0,5438.0,0
21023,0.9842084285397017,1,1,2,34,-1,-1,-2,-2,-1,-1,3253.0,3969.0,-8.0,2315.0,4255.0,2010.0,4005.0,326.0,2323.0,4264.0,2028.0,1857.0,0
483,-0.1960713006161449,2,2,2,28,0,0,0,0,-1,2,41264.0,41799.0,37887.0,37876.0,6736.0,4162.0,2112.0,1200.0,758.0,6736.0,0.0,0.0,0
23283,-0.32323923637120333,2,1,1,42,-1,-1,2,-1,-1,-1,796.0,770.0,770.0,5259.0,1329.0,3609.0,770.0,0.0,5269.0,1329.0,2280.0,0.0,0
2318,0.76440834325796,1,2,1,46,0,0,0,0,0,0,44573.0,60540.0,15993.0,16327.0,16863.0,17282.0,2200.0,2600.0,600.0,800.0,700.0,700.0,0
28370,0.6452025293002759,2,2,2,42,0,0,0,0,0,0,42656.0,39657.0,30297.0,30633.0,31190.0,30905.0,1519.0,2000.0,2000.0,1312.0,3200.0,1200.0,0
2940,0.6952268259417604,1,1,2,31,0,0,0,0,0,0,19469.0,17227.0,17400.0,19180.0,20036.0,4071.0,2227.0,2400.0,2180.0,1036.0,2071.0,3291.0,0
10222,-0.0710891450879345,1,2,2,41,0,0,0,0,0,0,40710.0,42736.0,43751.0,44619.0,45900.0,46845.0,3000.0,1729.0,1597.0,2000.0,1709.0,1665.0,0
8004,0.4186916184747086,1,2,2,30,0,-1,-1,0,-1,-1,2720.0,1280.0,5850.0,150.0,1240.0,0.0,1280.0,5850.0,0.0,1240.0,0.0,0.0,0
3117,0.5185293018049522,2,2,2,25,0,0,0,0,0,0,24458.0,29022.0,28230.0,22204.0,21954.0,22606.0,5000.0,1518.0,529.0,535.0,750.0,347.0,0
2409,0.6947638112204598,2,2,2,35,-2,-2,-2,-2,-2,-2,2593.0,0.0,0.0,0.0,1849.0,12837.0,0.0,0.0,0.0,1849.0,12837.0,4201.0,0
18189,0.9591887133641149,1,2,2,48,0,0,0,0,2,0,4975.0,6878.0,8106.0,9962.0,9656.0,11328.0,2000.0,1500.0,2000.0,0.0,2000.0,1000.0,1
20812,0.22756668376536743,1,3,2,43,0,0,0,0,0,0,154386.0,151549.0,158888.0,144169.0,151679.0,143995.0,10000.0,10000.0,10000.0,10000.0,8000.0,10000.0,0
21253,-0.1978208508382881,1,2,1,47,-1,-1,-1,-1,-1,-1,40390.0,9760.0,9712.0,11756.0,4128.0,12424.0,9760.0,9712.0,11771.0,4128.0,12424.0,8702.0,0
29990,0.041360281015577205,1,1,2,35,-1,-1,-1,-1,-1,-2,3425.0,9009.0,-3.0,780.0,0.0,0.0,9054.0,0.0,783.0,0.0,0.0,0.0,0
11902,-0.9764117948450491,1,1,2,29,1,-2,-2,-1,0,-1,0.0,0.0,0.0,9150.0,1960.0,3930.0,0.0,0.0,9150.0,0.0,3930.0,0.0,0
1404,0.9243842384530322,1,1,2,33,-1,-1,-1,0,0,-1,5613.0,11576.0,7017.0,1185.0,0.0,542.0,11606.0,7017.0,24.0,0.0,542.0,208896.0,0
1627,0.3266093754103715,2,3,1,48,0,0,2,0,0,0,37800.0,40874.0,39922.0,40953.0,42136.0,43279.0,4000.0,0.0,2000.0,2000.0,2000.0,2000.0,0
3791,1.4498212969130226,1,1,1,46,-1,-1,-1,-1,-1,-1,1197.0,-19.0,3121.0,2372.0,502.0,1979.0,0.0,3140.0,2387.0,504.0,1989.0,19150.0,1
11469,-0.5726889625015814,1,1,1,30,-1,-1,-1,-1,-1,-1,649.0,949.0,1938.0,81.0,671.0,8067.0,949.0,1938.0,81.0,671.0,8067.0,1513.0,0
283,0.48351440644223764,2,3,2,30,0,0,0,0,0,0,163935.0,153152.0,147032.0,122196.0,103692.0,70204.0,7722.0,6091.0,3563.0,3605.0,3000.0,3211.0,0
14434,-0.07181200700252108,2,1,2,26,0,0,0,0,0,0,45431.0,45187.0,34250.0,30276.0,30894.0,0.0,1811.0,1400.0,606.0,618.0,0.0,0.0,0
21960,-0.16791660020441268,2,1,2,28,0,-1,-1,0,0,0,6121.0,4391.0,6269.0,8992.0,4314.0,11131.0,4391.0,6269.0,8914.0,4300.0,11100.0,52900.0,0
23518,0.46004595382885144,2,2,2,34,0,-1,-1,-1,-2,-2,13112.0,13011.0,12000.0,0.0,0.0,0.0,13011.0,12000.0,0.0,0.0,0.0,107918.0,0
20100,-0.163406820568591,2,2,1,42,0,0,0,0,0,2,18172.0,19559.0,20437.0,26591.0,28350.0,27758.0,2000.0,1500.0,6500.0,2200.0,0.0,1100.0,1
11326,-0.4231385087172275,2,1,2,24,-1,-1,-2,-2,-2,-2,19133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
24468,-0.30036598432116624,1,1,1,44,0,0,0,0,0,0,75811.0,77554.0,79418.0,80608.0,81297.0,83602.0,4001.0,3501.0,3501.0,3001.0,4001.0,4001.0,0
10484,-0.33484702863697374,1,3,1,43,-1,-1,-1,0,0,0,390.0,5050.0,63032.0,33228.0,31073.0,25035.0,5050.0,63032.0,1100.0,1100.0,1000.0,1000.0,0
5838,1.164591803169365,1,2,2,26,2,2,7,7,7,7,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2435,-0.3443212882940481,2,2,2,25,3,3,2,2,2,2,87057.0,84821.0,85194.0,76326.0,75122.0,75011.0,0.0,2700.0,2500.0,3200.0,2500.0,0.0,1
3998,-0.22315980168540012,1,2,2,26,0,0,0,0,0,0,40171.0,37274.0,30203.0,30809.0,33323.0,33190.0,1491.0,2000.0,1092.0,3000.0,1353.0,2000.0,0
9600,-0.020218614695167374,2,1,2,29,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
18037,-0.06117921048685487,1,3,2,31,0,0,0,0,0,0,108963.0,105748.0,109050.0,112243.0,114513.0,114902.0,4500.0,5000.0,5000.0,4100.0,4192.0,6000.0,0
7770,0.42862534678211556,2,2,2,37,0,0,0,0,0,0,280110.0,281104.0,286048.0,369693.0,243198.0,243498.0,10000.0,15002.0,9000.0,10000.0,8600.0,8500.0,0
15035,0.7568259769108521,1,1,2,39,0,0,0,2,0,0,33307.0,38730.0,50694.0,49483.0,17299.0,17959.0,6000.0,13000.0,0.0,1000.0,1000.0,2000.0,1
15247,-0.07809743741751958,2,1,1,28,0,0,0,0,0,0,148880.0,151913.0,155170.0,159089.0,160950.0,164691.0,7000.0,7200.0,8000.0,6000.0,6500.0,7000.0,0
